"switch" "arsenic" "dist" "assoc" "educ" "educ4" "use" "status_perceived" "well_shift"
"1" "1" "236" "16.826000213623" "No" "0" "0" "Neither" "Unsafe" "No"
"2" "1" "71" "47.3219985961914" "No" "0" "0" "Unfrequently" "Unsafe" "No"
"3" "0" "207" "20.9669990539551" "No" "10" "9-12" "Unfrequently" "Unsafe" "No"
"4" "1" "115" "21.4860000610352" "No" "12" "12+" "Neither" "Unsafe" "No"
"5" "1" "110" "40.8740005493164" "Yes" "14" "12+" "Neither" "Unsafe" "No"
"6" "1" "390" "69.5179977416992" "Yes" "9" "9-12" "Neither" "Unsafe" "No"
"7" "1" "297" "80.7109985351562" "Yes" "4" "1-8" "Neither" "Unsafe" "No"
"8" "1" "324" "55.1459999084473" "No" "10" "9-12" "Neither" "Unsafe" "No"
"9" "1" "328" "52.6469993591309" "Yes" "0" "0" "Neither" "Unsafe" "No"
"10" "1" "252" "75.0719985961914" "Yes" "0" "0" "Neither" "Unsafe" "No"
"11" "1" "313" "29.7740001678467" "Yes" "5" "1-8" "Neither" "Unsafe" "No"
"12" "1" "304" "34.5040016174316" "No" "0" "0" "Neither" "Unsafe" "No"
"13" "1" "291" "63.8040008544922" "Yes" "0" "0" "Neither" "Unsafe" "No"
"14" "1" "321" "73.6039962768555" "Yes" "0" "0" "Neither" "Unsafe" "No"
"15" "1" "170" "67.6549987792969" "Yes" "0" "0" "Neither" "Unsafe" "No"
"16" "1" "180" "80.6600036621094" "Yes" "7" "9-12" "Neither" "Unsafe" "No"
"17" "1" "144" "52.181999206543" "No" "7" "9-12" "Neither" "Unsafe" "No"
"18" "1" "143" "52.181999206543" "Yes" "7" "9-12" "Neither" "Unsafe" "No"
"19" "1" "233" "50.5340003967285" "Yes" "0" "0" "Neither" "Unsafe" "No"
"20" "1" "283" "31.4220008850098" "No" "10" "9-12" "Neither" "Unsafe" "No"
"21" "1" "179" "33.0089988708496" "Yes" "7" "9-12" "Unfrequently" "Unsafe" "No"
"22" "1" "254" "37.8709983825684" "No" "0" "0" "Neither" "Unsafe" "No"
